panel,horizon,row_order,row_label,scenario,scenario_label,reliability_group,reliability_definition,column_order,experiment,configuration,sample_count_mean,baseline_sample_count,MAE_traffic_only,MAE_mean,delta_MAE,delta_convention,seed_count,common_vmin,common_vcenter,common_vmax
(c)  6-h forecast,6,2,Dry — Low,S1_dry,Dry,Low,frozen training-defined classification,1,E4_atmospheric,Atmospheric,1995.0,1995.0,1.5405889872182084,1.7238741241939486,0.18328513697574023,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(c)  6-h forecast,6,2,Dry — Low,S1_dry,Dry,Low,frozen training-defined classification,2,E5_full_fusion,Full fusion,1995.0,1995.0,1.5405889872182084,1.7045185404612606,0.16392955324305225,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(c)  6-h forecast,6,3,Rain — High,S2_rain,Rain,High,frozen training-defined classification,0,E3_meteorology,Meteorology,3558.0,3558.0,0.9064147677608302,1.0369944431818847,0.13057967542105453,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(c)  6-h forecast,6,3,Rain — High,S2_rain,Rain,High,frozen training-defined classification,1,E4_atmospheric,Atmospheric,3558.0,3558.0,0.9064147677608302,1.1445787202157127,0.23816395245488253,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(c)  6-h forecast,6,3,Rain — High,S2_rain,Rain,High,frozen training-defined classification,2,E5_full_fusion,Full fusion,3558.0,3558.0,0.9064147677608302,1.3149991755050423,0.4085844077442121,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(c)  6-h forecast,6,4,Rain — Medium,S2_rain,Rain,Medium,frozen training-defined classification,0,E3_meteorology,Meteorology,1795.0,1795.0,0.9521116435583146,1.0046626650102737,0.05255102145195911,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(c)  6-h forecast,6,4,Rain — Medium,S2_rain,Rain,Medium,frozen training-defined classification,1,E4_atmospheric,Atmospheric,1795.0,1795.0,0.9521116435583146,1.1898181886239083,0.23770654506559374,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(c)  6-h forecast,6,4,Rain — Medium,S2_rain,Rain,Medium,frozen training-defined classification,2,E5_full_fusion,Full fusion,1795.0,1795.0,0.9521116435583146,1.293857194339111,0.3417455507807965,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(c)  6-h forecast,6,5,Rain — Low,S2_rain,Rain,Low,frozen training-defined classification,0,E3_meteorology,Meteorology,2911.0,2911.0,1.982232093002929,2.1493519495487163,0.16711985654578743,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(c)  6-h forecast,6,5,Rain — Low,S2_rain,Rain,Low,frozen training-defined classification,1,E4_atmospheric,Atmospheric,2911.0,2911.0,1.982232093002929,2.160700544529623,0.1784684515266941,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(c)  6-h forecast,6,5,Rain — Low,S2_rain,Rain,Low,frozen training-defined classification,2,E5_full_fusion,Full fusion,2911.0,2911.0,1.982232093002929,2.204474836546272,0.22224274354334317,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(c)  6-h forecast,6,6,Elevated AOD — High,S7_elevated_aod,Elevated AOD,High,frozen training-defined classification,0,E3_meteorology,Meteorology,1393.0,1393.0,0.91594770714038,1.0219624503145497,0.1060147431741697,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(c)  6-h forecast,6,6,Elevated AOD — High,S7_elevated_aod,Elevated AOD,High,frozen training-defined classification,1,E4_atmospheric,Atmospheric,1393.0,1393.0,0.91594770714038,0.9204413106151104,0.004493603474730379,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(c)  6-h forecast,6,6,Elevated AOD — High,S7_elevated_aod,Elevated AOD,High,frozen training-defined classification,2,E5_full_fusion,Full fusion,1393.0,1393.0,0.91594770714038,0.9575039277780736,0.0415562206376936,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(c)  6-h forecast,6,7,Elevated AOD — Medium,S7_elevated_aod,Elevated AOD,Medium,frozen training-defined classification,0,E3_meteorology,Meteorology,547.0,547.0,0.906454249724319,0.9492362097368816,0.042781960012562625,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(c)  6-h forecast,6,7,Elevated AOD — Medium,S7_elevated_aod,Elevated AOD,Medium,frozen training-defined classification,1,E4_atmospheric,Atmospheric,547.0,547.0,0.906454249724319,0.8798841454356564,-0.026570104288662577,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(c)  6-h forecast,6,7,Elevated AOD — Medium,S7_elevated_aod,Elevated AOD,Medium,frozen training-defined classification,2,E5_full_fusion,Full fusion,547.0,547.0,0.906454249724319,0.937184145391024,0.03072989566670503,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
(c)  6-h forecast,6,8,Elevated AOD — Low,S7_elevated_aod,Elevated AOD,Low,frozen training-defined classification,0,E3_meteorology,Meteorology,1552.0,1552.0,2.157409624709296,2.2531470742831936,0.0957374495738974,environmental configuration minus E1 Traffic-only,5,-0.45,0.0,0.45
