scenario,experiment,model,horizon,seed,sample_count,unique_hours,unique_dates,independent_events,MAE,RMSE,sMAPE,R2
S1_dry,E3_meteorology,E3_meteorology_aware_xgboost,3,2025,5322,165,13,17,1.220659145645281,2.6714876039829156,1.6628878947859285,0.9728502729368386
S1_dry,E3_meteorology,E3_meteorology_aware_xgboost,3,20260623,5322,165,13,17,1.2192090528226056,2.679185685992281,1.6663119930511874,0.9726935797517066
S1_dry,E3_meteorology,E3_meteorology_aware_xgboost,3,20260715,5322,165,13,17,1.2082665666697034,2.675295192729923,1.6488295193292886,0.9727728264507015
S1_dry,E3_meteorology,E3_meteorology_aware_xgboost,3,20260718,5322,165,13,17,1.2116532308183543,2.683781342462648,1.6596080639271154,0.972599820998067
S1_dry,E4_atmospheric,E4_atmospheric_context_xgboost,3,42,5322,165,13,17,1.370123421182672,2.727429195789934,1.8022382754122312,0.9717013243479947
S1_dry,E4_atmospheric,E4_atmospheric_context_xgboost,3,2025,5322,165,13,17,1.4225254463579038,2.7591011469957913,1.8526223866686446,0.9710402782495622
S1_dry,E4_atmospheric,E4_atmospheric_context_xgboost,3,20260623,5322,165,13,17,1.3800201918238701,2.751777762371254,1.8096809966251504,0.9711938077559263
S1_dry,E4_atmospheric,E4_atmospheric_context_xgboost,3,20260715,5322,165,13,17,1.396534715671819,2.7302689309253743,1.8239791670929386,0.971642365839728
S1_dry,E4_atmospheric,E4_atmospheric_context_xgboost,3,20260718,5322,165,13,17,1.384076113905746,2.7183521544138824,1.8065044609788856,0.9718893701561244
S1_dry,E5_full_fusion,E5_full_fusion_xgboost,3,42,5322,165,13,17,1.3414221549891265,2.7662488839877484,1.7786863141356746,0.9708900375832857
S1_dry,E5_full_fusion,E5_full_fusion_xgboost,3,2025,5322,165,13,17,1.3785718571642476,2.769172655979692,1.8183344158984045,0.9708284698248347
S1_dry,E5_full_fusion,E5_full_fusion_xgboost,3,20260623,5322,165,13,17,1.353621273955859,2.75714888566815,1.7967561805763774,0.9710812458979783
S1_dry,E5_full_fusion,E5_full_fusion_xgboost,3,20260715,5322,165,13,17,1.3588477828904948,2.751883595148618,1.7985662696389535,0.9711915919534752
S1_dry,E5_full_fusion,E5_full_fusion_xgboost,3,20260718,5322,165,13,17,1.337018153560829,2.7570197980408238,1.7706934618021217,0.9710839537430151
S2_rain,E1_traffic_only,E1_traffic_only_xgboost,3,42,8217,214,13,13,1.1808365383165988,2.731996200149894,1.57977872856809,0.9706754233240273
S2_rain,E1_traffic_only,E1_traffic_only_xgboost,3,2025,8217,214,13,13,1.1694626297690962,2.7072730271110133,1.5657809555138549,0.9712037667812016
S2_rain,E1_traffic_only,E1_traffic_only_xgboost,3,20260623,8217,214,13,13,1.1740580247694337,2.7116823484180657,1.5718413634531507,0.9711098898485029
S2_rain,E1_traffic_only,E1_traffic_only_xgboost,3,20260715,8217,214,13,13,1.1777769154280968,2.7255334689548167,1.5786321352073478,0.9708139979667437
