test_set,stratum_type,stratum,experiment,model,horizon,seed,sample_count,MAE,RMSE,sMAPE,R2
Test-A_all,scenario,S3_widespread_rain,E3_meteorology,E3_meteorology_aware_xgboost,6,20260623,8235,1.5108768647036992,3.0034749713400624,1.9720001311375361,0.9648944248735356
Test-A_all,scenario,S3_widespread_rain,E3_meteorology,E3_meteorology_aware_xgboost,6,20260715,8235,1.515497347398027,3.0137239811189818,1.977192740787544,0.9646544286893746
Test-A_all,scenario,S3_widespread_rain,E3_meteorology,E3_meteorology_aware_xgboost,6,20260718,8235,1.523392059875871,3.0268715130621753,1.989754941989609,0.9643453621090257
Test-A_all,scenario,S3_widespread_rain,E4_atmospheric,E4_atmospheric_context_xgboost,1,42,8035,1.0939056143912012,2.346989649756224,1.4416125369785397,0.9796046539170116
Test-A_all,scenario,S3_widespread_rain,E4_atmospheric,E4_atmospheric_context_xgboost,1,2025,8035,1.0868182420522885,2.3591944416207418,1.4322376585988978,0.9793919830412892
Test-A_all,scenario,S3_widespread_rain,E4_atmospheric,E4_atmospheric_context_xgboost,1,20260623,8035,1.1056234895666217,2.3517945218403846,1.4528213854658234,0.9795210597339624
Test-A_all,scenario,S3_widespread_rain,E4_atmospheric,E4_atmospheric_context_xgboost,1,20260715,8035,1.0833582563386421,2.340821454893157,1.429706872773488,0.9797117163033375
Test-A_all,scenario,S3_widespread_rain,E4_atmospheric,E4_atmospheric_context_xgboost,1,20260718,8035,1.087967452638947,2.3546601809466146,1.4358868440670394,0.9794711221945032
Test-A_all,scenario,S3_widespread_rain,E4_atmospheric,E4_atmospheric_context_xgboost,3,42,8127,1.4593038072754647,2.930561616652514,1.8994817165662536,0.9678613435310044
Test-A_all,scenario,S3_widespread_rain,E4_atmospheric,E4_atmospheric_context_xgboost,3,2025,8127,1.432290776554992,2.940597545835305,1.865064101744336,0.9676408441141132
Test-A_all,scenario,S3_widespread_rain,E4_atmospheric,E4_atmospheric_context_xgboost,3,20260623,8127,1.4294848497817183,2.9354909369181503,1.8611590042569743,0.9677531356260467
Test-A_all,scenario,S3_widespread_rain,E4_atmospheric,E4_atmospheric_context_xgboost,3,20260715,8127,1.4373083000798001,2.922223641511383,1.8750517909855446,0.9680439638887381
Test-A_all,scenario,S3_widespread_rain,E4_atmospheric,E4_atmospheric_context_xgboost,3,20260718,8127,1.4308134817244906,2.9042225766192815,1.8644122018631124,0.9684364532982894
Test-A_all,scenario,S3_widespread_rain,E4_atmospheric,E4_atmospheric_context_xgboost,6,42,8235,1.6032141580834511,3.0271189306335313,2.0542086935643247,0.9643395330248269
Test-A_all,scenario,S3_widespread_rain,E4_atmospheric,E4_atmospheric_context_xgboost,6,2025,8235,1.5680046016073161,3.0085603081511136,2.0250749377364268,0.9647754461512612
